Platebarcode	Well	nrCells	area	intensity
PLATE11003	H6	31493	62.724326520088	0.0301855753026197
PLATE11003	H7	50507	59.2771671815538	0.0319001769983381
PLATE11003	H8	45095	60.5419052376838	0.0336299476294142
PLATE11003	H9	42597	59.4117322746912	0.0300700042105317
PLATE11003	H10	43623	59.8081139050446	0.0326660505387481
PLATE11003	H11	48334	60.3745959889265	0.0320087288117211
PLATE11003	H12	47599	61.2893311998239	0.0348077099940932
PLATE11004	A1	34870	61.6674078899265	0.0306469711663563
PLATE11004	A2	21688	59.1250573293085	0.0261359048925894
PLATE11004	A3	22302	71.7072515178511	0.0323105321260373
PLATE11004	A4	33199	63.3422710295013	0.0324850531471319
PLATE11004	A5	19376	56.2038297537064	0.0227488458768329
PLATE11004	A6	21880	72.2795202276418	0.0347304324426993
PLATE11004	A7	41657	60.867485368104	0.033098627640949
PLATE11004	A8	23606	61.0701201126807	0.0270846941394956
PLATE11004	A9	22727	71.8224985571927	0.0341626798636222
PLATE11004	A10	41762	62.9526939144061	0.0354826329480774
PLATE11004	A11	23019	58.4091701736101	0.0243881378116726
PLATE11004	A12	23533	72.0012522634158	0.0356515498764393
PLATE11004	B1	34871	61.7384478345111	0.03007100470766
PLATE11004	B2	36969	62.4431126874644	0.0328249047519257
PLATE11004	B3	17528	34.3357310554416	0.0167374552525392
PLATE11004	B4	30325	61.4993811253794	0.0305045228933726
PLATE11004	B5	33770	60.3255191237885	0.028754361614843
PLATE11004	B6	10546	35.2475445888663	0.0196026408363516
PLATE11004	B7	40998	61.0660464141511	0.0327228849568956
PLATE11004	B8	42376	61.4184403066849	0.034678398122806
PLATE11004	B9	11225	35.2145560024206	0.0182110738335528
PLATE11004	B10	40042	61.4438044803626	0.0338945774118927
PLATE11004	B11	41828	60.2499845354084	0.031285679015282
PLATE11004	B12	10719	35.9472600709878	0.0195839137449596
PLATE11004	C1	39716	60.7796929305915	0.0313489711484798
PLATE11004	C2	34198	61.7107551933484	0.0303756713637454
PLATE11004	C3	34496	61.0701148865767	0.030378928676552
PLATE11004	C4	38885	61.9081828048425	0.033102871948427
PLATE11004	C5	26955	59.511078487477	0.0260379185054734
PLATE11004	C6	33145	62.7843295035849	0.0325787430954503
PLATE11004	C7	43350	59.8655599204664	0.032201237358144
PLATE11004	C8	40697	61.5648236398397	0.032699512625463
PLATE11004	C9	45884	61.7544488563223	0.0336952309224584
PLATE11004	C10	43312	61.2148682526646	0.0350357794132966
PLATE11004	C11	30374	60.6474162715808	0.0274549814091311
PLATE11004	C12	43864	62.923778415622	0.0363391850598412
PLATE11004	D1	58168	59.8995448039794	0.0380031889271124
PLATE11004	D2	38912	58.4384534418446	0.0336284708857691
PLATE11004	D3	33324	59.6567175089812	0.0286958642308048
PLATE11004	D4	56445	61.7405541379154	0.0401967359824213
PLATE11004	D5	43437	60.8935057298193	0.0333755692910832
PLATE11004	D6	37912	61.3475069366896	0.0317979142313746
PLATE11004	D7	56846	60.3921823663239	0.0380325375582171
PLATE11004	D8	46794	58.6861762022134	0.0358803048412099
PLATE11004	D9	35624	59.6122317690918	0.0296966973486292
PLATE11004	D10	56099	60.8815883792758	0.0396413920228822
PLATE11004	D11	50378	60.5230375378445	0.0356864689574416
PLATE11004	D12	43585	61.746183240159	0.0335910151700844
PLATE11004	E1	39856	60.2359355979063	0.0301942607392081
PLATE11004	E2	28393	56.8837879612016	0.0269878426286986
PLATE11004	E3	35058	60.531453938573	0.0298740623874704
PLATE11004	E4	34462	60.6106705831669	0.031057150941225
PLATE11004	E5	28032	55.3571870054863	0.0249055623653264
PLATE11004	E6	38281	61.7143690600987	0.0317965989326154
PLATE11004	E7	44063	60.6853193983014	0.031985239617398
PLATE11004	E8	36351	56.5564964685201	0.0292399212491803
PLATE11004	E9	43006	60.8599096903738	0.0328064715649794
PLATE11004	E10	42801	60.0444487405156	0.0337433723399938
PLATE11004	E11	34245	55.0704704733851	0.0264027085349909
PLATE11004	E12	46979	60.6643489943322	0.0346950677715694
PLATE11004	F1	21796	52.3541961678601	0.0219789959880215
PLATE11004	F2	33543	60.0983435018487	0.0294112605636034
PLATE11004	F3	37771	61.5823812182163	0.0301245001567522
PLATE11004	F4	20837	52.3482005398123	0.0235621334728253
PLATE11004	F5	12650	39.4784604802578	0.0155279548562414
PLATE11004	F6	38705	62.2642843981044	0.03291586583811
PLATE11004	F7	25918	54.2300032022974	0.0239877163257352
PLATE11004	F8	42830	61.0076064779564	0.0331520052059595
PLATE11004	F9	44639	62.2019782735631	0.0322381859286903
PLATE11004	F10	25639	54.5972582490335	0.0254293650170059
PLATE11004	F11	10750	37.1516273769683	0.0161986619911797
PLATE11004	F12	43348	62.303668265838	0.0344783155437891
PLATE11004	G1	40859	60.7131138296309	0.031893888445086
PLATE11004	G2	34144	61.9396267820286	0.0319139231313385
PLATE11004	G3	32726	60.855200156376	0.0290930753161837
PLATE11004	G4	31517	61.6304172055096	0.0309796003403323
PLATE11004	G5	37557	60.6197800020826	0.0307434855959885
PLATE11004	G6	31945	60.8268412142923	0.0306495131949869
PLATE11004	G7	42985	59.9511778400164	0.0326807135895507
PLATE11004	G8	45828	63.0160398036133	0.0365742210822515
PLATE11004	G9	41938	61.206273107239	0.0323860050118252
PLATE11004	G10	42175	62.3149241231335	0.0348642986611157
PLATE11004	G11	44097	61.9461974283756	0.0339239718753995
PLATE11004	G12	42105	62.2149868044206	0.0349055452825694
PLATE11004	H1	34408	59.7744355162547	0.0284312150588323
PLATE11004	H2	34049	61.7685058294905	0.0320145318149507
PLATE11004	H3	31088	60.2804316250064	0.0280940361398244
PLATE11004	H4	27356	59.7147182216209	0.0277976692229512
PLATE11004	H5	32476	60.2235704979202	0.0279543544119399
PLATE11004	H6	32286	61.7272359856189	0.0303439021322062
PLATE11004	H7	40135	60.3744851321563	0.0307841712721217
PLATE11004	H8	42050	61.085136851112	0.0335994534302897
PLATE11004	H9	40730	60.1469492514427	0.031832429140139
PLATE11004	H10	38702	60.9675745698577	0.0320343637077147
PLATE11004	H11	42806	60.3603054864097	0.0316751963555625
PLATE11004	H12	42181	61.5526061498051	0.033616867369477
PLATE11005	A1	10749	38.358217797794	0.0175155573943496
PLATE11005	A2	10453	36.9329977323136	0.0202239741888677
PLATE11005	A3	10439	38.5878577076752	0.0175293804565451
PLATE11005	A4	9961	37.7891668332418	0.0194894641159281
PLATE11005	A5	9987	38.2298112740691	0.0182475847410322
PLATE11005	A6	10444	39.3325490539244	0.0197184113575657
PLATE11005	A7	27946	58.5831609782656	0.0274088623801431
PLATE11005	A8	18518	56.0090822318237	0.0242886524464914
PLATE11005	A9	19863	68.2881273388959	0.0312455659283739
PLATE11005	A10	33008	62.1570657480513	0.0321987860587669
PLATE11005	A11	16712	51.5417579546459	0.0214806139517223
PLATE11005	A12	21345	70.7441624088423	0.0345082443779738
PLATE11005	B1	10052	37.1382750494025	0.0178580308367051
PLATE11005	B2	10527	38.4872422722548	0.0188682449253349
PLATE11005	B3	9333	36.2171799423095	0.017713497259089
PLATE11005	B4	10824	38.6859507250241	0.0183795070360953
PLATE11005	B5	10357	38.9963418389646	0.0172293886349219
PLATE11005	B6	10301	38.5541718982731	0.0183695134797425
PLATE11005	B7	29297	58.6947266894801	0.0277906523046117
PLATE11005	B8	36540	60.6023362141374	0.0319604741517615
PLATE11005	B9	9112	32.3687417610812	0.0173823156864229
PLATE11005	B10	32229	60.8839361696153	0.0310182648783338
PLATE11005	B11	34419	59.3226172218229	0.0288081583484197
PLATE11005	B12	10390	35.0578947668266	0.0186590656425032
PLATE11005	C1	10661	37.243801504098	0.0183589468368684
PLATE11005	C2	10896	38.734225379207	0.0203075006828769
PLATE11005	C3	10597	38.8855980922149	0.0181640276354648
PLATE11005	C4	9988	35.9491849947049	0.0202229606017066
PLATE11005	C5	10201	37.4236965327186	0.0184030000087076
PLATE11005	C6	10016	39.3059887113142	0.0193805169225667
PLATE11005	C7	31795	58.2778308100957	0.0283558076825753
PLATE11005	C8	30609	60.542394760893	0.0289502997661246
PLATE11005	C9	30400	58.7879066375391	0.0279725546079386
PLATE11005	C10	35230	60.7032211982329	0.0319989174127422
PLATE11005	C11	20405	54.5739380770657	0.0229521326792887
PLATE11005	C12	34704	61.7533939025876	0.0322409069787008
PLATE11005	D1	10372	36.9682978199156	0.018399604431384
PLATE11005	D2	10584	38.7539602875651	0.0198716919989116
PLATE11005	D3	10267	37.6728643521934	0.0187384749750493
